,task,input,output
57,active_to_passive,The actor stopped the bankers.,The bankers were stopped by the actor.
563,active_to_passive,The banker encouraged the athlete.,The athlete was encouraged by the banker.
247,active_to_passive,The managers thanked the professor.,The professor was thanked by the managers.
132,active_to_passive,The senator contacted the actor.,The actor was contacted by the senator.
420,active_to_passive,The athletes avoided the senator.,The senator was avoided by the athletes.
634,active_to_passive,The secretaries admired the author.,The author was admired by the secretaries.
93,active_to_passive,The tourists contacted the actors.,The actors were contacted by the tourists.
531,active_to_passive,The actor thanked the professor.,The professor was thanked by the actor.
348,active_to_passive,The tourist avoided the bankers.,The bankers were avoided by the tourist.
271,active_to_passive,The scientist introduced the authors.,The authors were introduced by the scientist.
46,active_to_passive,The author advised the judge.,The judge was advised by the author.
449,active_to_passive,The students believed the presidents.,The presidents were believed by the students.
176,active_to_passive,The actors introduced the professor.,The professor was introduced by the actors.
341,active_to_passive,The student recognized the manager.,The manager was recognized by the student.
410,active_to_passive,The banker mentioned the artists.,The artists were mentioned by the banker.
378,active_to_passive,The senators thanked the professor.,The professor was thanked by the senators.
141,active_to_passive,The doctors believed the banker.,The banker was believed by the doctors.
9,active_to_passive,The student believed the professors.,The professors were believed by the student.
598,active_to_passive,The tourist encouraged the professors.,The professors were encouraged by the tourist.
45,active_to_passive,The scientist encouraged the authors.,The authors were encouraged by the scientist.
332,active_to_passive,The manager thanked the secretaries.,The secretaries were thanked by the manager.
342,active_to_passive,The senator thanked the secretary.,The secretary was thanked by the senator.
252,active_to_passive,The artist recognized the secretaries.,The secretaries were recognized by the artist.
224,active_to_passive,The judges mentioned the tourists.,The tourists were mentioned by the judges.
102,active_to_passive,The judges admired the student.,The student was admired by the judges.
480,active_to_passive,The senator admired the lawyers.,The lawyers were admired by the senator.
89,active_to_passive,The presidents supported the senator.,The senator was supported by the presidents.
280,active_to_passive,The professor recommended the bankers.,The bankers were recommended by the professor.
202,active_to_passive,The senators stopped the manager.,The manager was stopped by the senators.
413,active_to_passive,The athlete recognized the secretary.,The secretary was recognized by the athlete.
48,active_to_passive,The student supported the professors.,The professors were supported by the student.
656,active_to_passive,The actors believed the manager.,The manager was believed by the actors.
338,active_to_passive,The manager stopped the senator.,The senator was stopped by the manager.
161,active_to_passive,The president recognized the students.,The students were recognized by the president.
120,active_to_passive,The artist stopped the athlete.,The athlete was stopped by the artist.
217,active_to_passive,The artist thanked the doctor.,The doctor was thanked by the artist.
647,active_to_passive,The banker advised the doctor.,The doctor was advised by the banker.
651,active_to_passive,The senator admired the manager.,The manager was admired by the senator.
715,active_to_passive,The professor advised the judges.,The judges were advised by the professor.
815,active_to_passive,The actors mentioned the managers.,The managers were mentioned by the actors.
38,active_to_passive,The artist advised the scientists.,The scientists were advised by the artist.
756,active_to_passive,The professors helped the doctor.,The doctor was helped by the professors.
