task,input,output
active_to_passive,The actor supported the lawyer.,The lawyer was supported by the actor.
active_to_passive,The athletes recommended the professor.,The professor was recommended by the athletes.
active_to_passive,The students helped the scientist.,The scientist was helped by the students.
active_to_passive,The students admired the tourists.,The tourists were admired by the students.
active_to_passive,The author avoided the senators.,The senators were avoided by the author.
active_to_passive,The professor advised the scientists.,The scientists were advised by the professor.
active_to_passive,The banker contacted the lawyers.,The lawyers were contacted by the banker.
active_to_passive,The scientists encouraged the author.,The author was encouraged by the scientists.
active_to_passive,The secretary admired the scientist.,The scientist was admired by the secretary.
active_to_passive,The senators recommended the tourists.,The tourists were recommended by the senators.
active_to_passive,The students supported the athletes.,The athletes were supported by the students.
active_to_passive,The secretary admired the author.,The author was admired by the secretary.
active_to_passive,The doctors recommended the manager.,The manager was recommended by the doctors.
active_to_passive,The managers helped the secretaries.,The secretaries were helped by the managers.
active_to_passive,The scientist supported the actor.,The actor was supported by the scientist.
active_to_passive,The artist mentioned the actors.,The actors were mentioned by the artist.
active_to_passive,The students believed the presidents.,The presidents were believed by the students.
active_to_passive,The scientist recommended the senators.,The senators were recommended by the scientist.
active_to_passive,The banker thanked the athlete.,The athlete was thanked by the banker.
active_to_passive,The athlete mentioned the secretaries.,The secretaries were mentioned by the athlete.
active_to_passive,The doctor recognized the students.,The students were recognized by the doctor.
active_to_passive,The manager introduced the professors.,The professors were introduced by the manager.
active_to_passive,The presidents contacted the managers.,The managers were contacted by the presidents.
active_to_passive,The bankers believed the presidents.,The presidents were believed by the bankers.
active_to_passive,The lawyer supported the athlete.,The athlete was supported by the lawyer.
active_to_passive,The tourist advised the artists.,The artists were advised by the tourist.
active_to_passive,The athletes thanked the scientists.,The scientists were thanked by the athletes.
active_to_passive,The senators believed the professor.,The professor was believed by the senators.
active_to_passive,The scientist introduced the doctor.,The doctor was introduced by the scientist.
active_to_passive,The managers introduced the authors.,The authors were introduced by the managers.
active_to_passive,The actors encouraged the senators.,The senators were encouraged by the actors.
active_to_passive,The actor avoided the banker.,The banker was avoided by the actor.
active_to_passive,The athletes stopped the artists.,The artists were stopped by the athletes.
active_to_passive,The authors avoided the doctor.,The doctor was avoided by the authors.
active_to_passive,The professor admired the author.,The author was admired by the professor.
active_to_passive,The actor encouraged the judge.,The judge was encouraged by the actor.
active_to_passive,The doctor advised the president.,The president was advised by the doctor.
